gene,symbol,outcome,scan_b,scan_se,scan_pval,scan_q,n_cis_iv,n_clump_index,n_harmonised,method,b,se,pval,ci_l,ci_u,direction_consistent,q_stage2,survive_nominal,survive_fdr,ok,note,F_scan
ENSG00000004399,PLXND1,t2d,0.374216441396051,0.12014976044823,0.0018420491513,0.0481294380814037,392,6,3,mr_ivw_mre,0.336510923861176,0.0585002483149749,8.80378763903822e-09,0.221852544077176,0.451169303645177,True,6.45055458920327e-08,True,True,True,,9.700629340277844
ENSG00000005379,BZRAP1,t2d,0.431239915522591,0.132999226282668,0.00118517452977,0.0352363064134448,1035,6,1,Wald ratio (单工具退化),0.431239915522591,0.132999226282668,0.00118517452977,0.170566222036868,0.691913609008314,True,0.0018772503373978,True,True,True,,10.513314967860461
ENSG00000005801,ZNF195,t2d,-0.139415721783432,0.0403914707970691,0.0005572465619175,0.0208301322642722,340,5,2,mr_ivw_mre,-0.126334476057331,0.032619354313025,0.0001075076587947,-0.190267235709811,-0.0624017164048506,True,0.0002701474503047,True,True,True,,11.913631633714875
ENSG00000014914,MTMR11,t2d,-0.491316218894006,0.150402924151226,0.0010882173049342,0.0333994943340497,580,4,1,Wald ratio (单工具退化),-0.491316218894006,0.150402924151226,0.0010882173049342,-0.786100533399919,-0.196531904388093,True,0.0017700464047063,True,True,True,,10.671111111111157
ENSG00000029534,ANK1,t2d,0.454769988402351,0.0662856625162099,6.84953982367959e-12,7.75520120036611e-09,642,4,3,mr_ivw_mre,0.449415886172474,0.0240693836401455,8.415948182935549e-78,0.402240761107712,0.496591011237237,True,2.74920973975895e-76,True,True,True,,47.070020829995094
ENSG00000033627,ATP6V0A1,t2d,0.997951198585809,0.198800304731474,5.1707119730832e-07,0.0001079853786694,212,4,1,Wald ratio (单工具退化),0.997951198585809,0.198800304731474,5.1707119730832e-07,0.608309761196533,1.38759263597509,True,2.77660149787481e-06,True,True,True,,25.199070216218544
ENSG00000047932,GOPC,t2d,1.16367568603947,0.294224818345207,7.65166693032588e-05,0.0051636083456967,45,2,1,Wald ratio (单工具退化),1.16367568603947,0.294224818345207,7.65166693032588e-05,0.587005638725025,1.74034573335391,True,0.0002026657727491,True,True,True,,15.642469385178627
ENSG00000050820,BCAR1,t2d,-0.822089171527314,0.114807560141939,8.03341208712611e-13,1.3643411527969202e-09,598,2,1,Wald ratio (单工具退化),-0.822089171527314,0.114807560141939,8.03341208712611e-13,-1.04710785455843,-0.597070488496197,True,9.26205158280422e-12,True,True,True,,51.27396238478328
ENSG00000055147,FAM114A2,t2d,0.356292620555285,0.102959084266926,0.0005391205368413,0.0203468084089382,697,3,2,mr_ivw_mre,0.363359904364429,0.0183341918527749,2.05332413341907e-87,0.327425548647343,0.399294260081516,True,7.31730054818431e-86,True,True,True,,11.975242382271574
ENSG00000055483,USP36,t2d,-0.0602550260867316,0.0185943244564523,0.0011931762341102,0.0352419299292264,738,25,3,mr_ivw_mre,-0.0362132192503309,0.004505730706341,9.195446015976e-16,-0.0450442891587957,-0.0273821493418662,True,1.1264421369570601e-14,True,True,True,,10.500881269027433
ENSG00000056586,RC3H2,t2d,0.59959902527361,0.147442383264002,4.76903814203762e-05,0.0034465601891747,378,2,1,Wald ratio (单工具退化),0.59959902527361,0.147442383264002,4.76903814203762e-05,0.310617264281414,0.888580786265806,True,0.0001354683298317,True,True,True,,16.537777777777876
ENSG00000057294,PKP2,t2d,-0.255177501457679,0.0696675083344775,0.0002494823802177,0.0115618939481906,491,8,4,mr_ivw_mre,-0.24133039278422,0.0389441927857153,5.76130708012695e-10,-0.317659608051206,-0.165001177517233,True,5.07003068335053e-09,True,True,True,,13.416035694970226
ENSG00000061794,MRPS35,t2d,0.428659987219101,0.0860567398583802,6.32133762789451e-07,0.0001215366611853,262,5,1,Wald ratio (单工具退化),0.428659987219101,0.0860567398583802,6.32133762789451e-07,0.259991876469744,0.597328097968459,True,3.21813551965538e-06,True,True,True,,24.81167675329295
ENSG00000062524,LTK,t2d,-1.16009182473327,0.267974427350667,1.49710477422081e-05,0.001481116276632,20,2,1,Wald ratio (单工具退化),-1.16009182473327,0.267974427350667,1.49710477422081e-05,-1.68531205111832,-0.634871598348214,True,5.19349620791647e-05,True,True,True,,18.74122736740916
ENSG00000064651,SLC12A2,t2d,0.306423803388024,0.0822553572516525,0.0001951026222149,0.009698027904245,529,5,4,mr_ivw_mre,0.231606164790289,0.081769896063724,0.0046198050855012,0.0713401134858065,0.391872216094772,True,0.0060975205168905,True,True,True,,13.877671778770663
ENSG00000064995,TAF11,t2d,-0.696473563977414,0.210460858896602,0.0009353679437391,0.0303725222054051,200,3,1,Wald ratio (单工具退化),-0.696473563977414,0.210460858896602,0.0009353679437391,-1.10896926757012,-0.283977860384709,True,0.0015804492842488,True,True,True,,10.951323201190325
ENSG00000064999,ANKS1A,t2d,-0.540550528326217,0.131261791773288,3.81991970655781e-05,0.0028621310154282,983,5,4,mr_ivw_mre,-0.455401086492398,0.131238375083504,0.0005204004162627,-0.712623575045624,-0.198178597939172,True,0.0010149102645523,True,True,True,,16.958831917663797
ENSG00000065559,MAP2K4,t2d,-0.331072811351872,0.106578233791356,0.0018939125284999,0.0491900023720257,146,3,1,Wald ratio (单工具退化),-0.331072811351872,0.106578233791356,0.0018939125284999,-0.539962311118819,-0.122183311584924,True,0.0026480202057331,True,True,True,,9.6496152105025
ENSG00000070081,NUCB2,t2d,-0.087328103962205,0.0262316357909285,0.0008712275967096,0.0292033197712864,818,6,1,Wald ratio (单工具退化),-0.087328103962205,0.0262316357909285,0.0008712275967096,-0.138741165367997,-0.0359150425564133,True,0.0015044987573135,True,True,True,,11.082999519307803
ENSG00000072110,ACTN1,t2d,0.39738383438838,0.107401036321184,0.0002155994669547,0.0105623008089864,477,3,2,mr_ivw_mre,0.370465838806738,0.044172178725757,4.9930287206314803e-17,0.283889959385588,0.457041718227888,True,6.52422419495846e-16,True,True,True,,13.689999999999943
ENSG00000072310,SREBF1,t2d,-0.142175820834761,0.0371491660890828,0.0001296299982521,0.0071017724848901,1598,16,4,mr_ivw_mre,-0.206115357083657,0.0586497493816094,0.0004408425877802,-0.321066753573912,-0.0911639605934022,True,0.000900053616718,True,True,True,,14.647157445511285
ENSG00000073614,KDM5A,t2d,-0.143784561181357,0.0424209109075434,0.0007002692988775,0.0247768894290353,700,17,1,Wald ratio (单工具退化),-0.158431147892955,0.0361490788150123,1.1720883618302e-05,-0.229282040444679,-0.0875802553412312,True,4.37579655083275e-05,True,True,True,,11.488531855955575
ENSG00000073711,PPP2R3A,t2d,0.390660621440028,0.1165360497855,0.0008015101923669,0.0273156818067531,845,2,1,Wald ratio (单工具退化),0.390660621440028,0.1165360497855,0.0008015101923669,0.162254160959881,0.619067081920174,True,0.0014152792585938,True,True,True,,11.237732438016504
ENSG00000073803,MAP3K13,t2d,-0.530408168770641,0.102342206961311,2.18705675941223e-07,5.57152709460266e-05,667,4,2,mr_ivw_mre,-0.5186501510962,0.0602153513469312,7.10151523006781e-18,-0.63667007105261,-0.400630231139789,True,9.94212132209493e-17,True,True,True,,26.860299556213054
ENSG00000073849,ST6GAL1,t2d,0.205772364031345,0.0607649934052293,0.0007082546586421,0.024907019820435,636,12,3,mr_ivw_mre,0.185476471016391,0.0451207168250374,3.94509137243081e-05,0.0970414910826873,0.273911450950095,True,0.0001154086431337,True,True,True,,11.467458677685986
ENSG00000074755,ZZEF1,t2d,0.692475174840923,0.102588914791248,1.4784515556035598e-11,1.4185833180258e-08,777,4,1,Wald ratio (单工具退化),0.692475174840923,0.102588914791248,1.4784515556035598e-11,0.491404596637029,0.893545753044817,True,1.4860333584528002e-10,True,True,True,,45.562499999999865
ENSG00000075234,TTC38,t2d,-0.231434286671862,0.0511591581064115,6.07363888051616e-06,0.0007567387982662,730,10,3,mr_ivw_mre,-0.20791868045492,0.0652496948481588,0.0014400146081614,-0.33580573235954,-0.0800316285503005,True,0.0021710989476895,True,True,True,,20.46485260770983
ENSG00000076201,PTPN23,t2d,-0.811836027267483,0.193871290093727,2.82044021003335e-05,0.0023177649790516,303,2,1,Wald ratio (单工具退化),-0.811836027267483,0.193871290093727,2.82044021003335e-05,-1.1918167734875,-0.43185528104746,True,8.70561072703207e-05,True,True,True,,17.535156250000053
ENSG00000079459,FDFT1,t2d,0.139993132620051,0.03564242333578,8.57582295124821e-05,0.0055236001863947,4509,27,6,mr_ivw_mre,0.0523185891163924,0.0263895466788332,0.047417745288166,0.0005960280575407,0.104041150175244,True,0.0563265337968518,True,False,True,,15.426912469153597
ENSG00000081026,MAGI3,t2d,-1.04545835917333,0.270724754166097,0.0001125997997968,0.0064347928077035,231,3,2,mr_ivw_mre,-1.01921284622031,0.0565185046094775,1.0680623855171899e-72,-1.12998707971494,-0.908438612725671,True,3.22061888555952e-71,True,True,True,,14.912743322770428
ENSG00000081320,STK17B,t2d,0.20540646635456,0.0611688374070564,0.0007850160054334,0.0270247064032666,1039,8,3,mr_ivw_mre,0.158840989937247,0.0475187995042905,0.0008296817962715,0.0657058543202575,0.251976125554236,True,0.0014584540992755,True,True,True,,11.276329827770182
ENSG00000085721,RRN3,t2d,0.216115413915693,0.0515569451498222,2.76773320376328e-05,0.00229294319889,571,7,2,mr_ivw_mre,0.20621936113431,0.0855754967154333,0.0159615082742796,0.0384944696129355,0.373944252655685,True,0.0198096105255004,True,True,True,,17.571026458997927
ENSG00000086544,ITPKC,t2d,0.694950809646091,0.19340612155245,0.0003266161709179,0.0142842007796323,200,2,1,Wald ratio (单工具退化),0.694950809646091,0.19340612155245,0.0003266161709179,0.315881777013714,1.07401984227847,True,0.0006996368251358,True,True,True,,12.911232404481453
ENSG00000086619,ERO1LB,t2d,0.198281353225504,0.0529196854892392,0.0001790794788268,0.0090337618279493,687,4,2,mr_ivw_mre,0.202986598663706,0.0407081537639629,6.15189381357098e-07,0.12320008340922,0.282773113918192,True,3.17308207226293e-06,True,True,True,,14.038775837205598
ENSG00000087274,ADD1,t2d,-0.293831004602724,0.0875455390425925,0.0007898659324482,0.0271001139786108,587,5,1,Wald ratio (单工具退化),-0.293831004602724,0.0875455390425925,0.0007898659324482,-0.465417108133351,-0.122244901072098,True,0.001407397479635,True,True,True,,11.264896287488417
ENSG00000087448,KLHL42,t2d,0.344053411258327,0.0510094316237762,1.53134607441451e-11,1.4185833180258e-08,438,5,3,mr_ivw_mre,0.287636486820605,0.106601771178082,0.006970849415498,0.0787008546233845,0.496572119017825,True,0.0089839478853145,True,True,True,,45.49364847980003
ENSG00000090975,PITPNM2,t2d,-1.15041835870418,0.259771887449332,9.48593039226868e-06,0.0011239724499676,335,2,1,Wald ratio (单工具退化),-1.15041835870418,0.259771887449332,9.48593039226868e-06,-1.65956190230087,-0.641274815107502,True,3.71848471376932e-05,True,True,True,,19.61224489795903
ENSG00000091140,DLD,t2d,-0.683695027116308,0.195341436318945,0.000465258158071,0.0181646767461456,177,2,1,Wald ratio (单工具退化),-0.683695027116308,0.195341436318945,0.000465258158071,-1.06655720698976,-0.300832847242851,True,0.0009352881946864,True,True,True,,12.250000000000021
ENSG00000095637,SORBS1,t2d,0.642257430322655,0.183208049034347,0.0004555485582393,0.0178539992633032,285,3,2,mr_ivw_mre,0.51186117848276,0.212423678712645,0.0159689717501483,0.0955184187424686,0.928203938223052,True,0.0198096105255004,True,True,True,,12.289357404368149
ENSG00000100401,RANGAP1,t2d,-0.357815743193983,0.106669598914433,0.0007952856283276,0.0271944984988535,429,3,1,Wald ratio (单工具退化),-0.357815743193983,0.106669598914433,0.0007952856283276,-0.566884315311603,-0.148747171076362,True,0.0014106423814679,True,True,True,,11.252203172568429
ENSG00000100416,TRMU,t2d,0.795466788643983,0.248447161384696,0.0013659340957895,0.0390979450452107,313,2,1,Wald ratio (单工具退化),0.795466788643983,0.248447161384696,0.0013659340957895,0.308519300268769,1.2824142770192,True,0.0020834481149785,True,True,True,,10.251231148045559
ENSG00000101057,MYBL2,t2d,-0.273970034812073,0.0589417604774978,3.34928334461059e-06,0.0004806929194589,398,5,2,mr_ivw_mre,-0.254761374168853,0.106733780153067,0.0169917555968392,-0.463955739202681,-0.0455670091350253,True,0.0210118870471955,True,True,True,,21.60528120713304
ENSG00000101557,USP14,t2d,0.226263189943132,0.0620844118746398,0.000267970009028,0.0123000648288102,547,6,1,Wald ratio (单工具退化),0.226263189943132,0.0620844118746398,0.000267970009028,0.104579978667487,0.347946401218777,True,0.0006002528202228,True,True,True,,13.28197530864201
ENSG00000103512,NOMO1,t2d,0.148139715132951,0.0471754449976956,0.0016884007064311,0.0446332294427213,223,5,2,mr_ivw_mre,0.129626692263428,0.0550773375895453,0.0185956296108575,0.0216770942235648,0.23757629030329,True,0.0228117451299522,True,True,True,,9.860773866713295
ENSG00000103540,CCP110,t2d,-0.349221910079262,0.100298720910493,0.0004980217191612,0.0190783508205013,583,5,2,mr_ivw_mre,-0.321572131524461,0.0766673978767927,2.73620037965579e-05,-0.471837470151377,-0.171306792897545,True,8.51262340337355e-05,True,True,True,,12.123057851239674
ENSG00000103932,RPAP1,t2d,-0.131017246659959,0.0304422426062847,1.67895158434147e-05,0.0015822115772619,1860,15,1,Wald ratio (单工具退化),-0.133648583460361,0.03087204120868,1.49710477422082e-05,-0.194156672358611,-0.0731404945621123,True,5.19349620791647e-05,True,True,True,,18.522672648613874
ENSG00000105726,ATP13A1,t2d,0.382689460921946,0.0552635160723331,4.3655478932672495e-12,6.35499043319904e-09,1268,14,4,mr_ivw_mre,0.330366064346814,0.0676320003400197,1.03555111602855e-06,0.197809779477975,0.462922349215654,True,5.01155601831098e-06,True,True,True,,47.9530216518741
ENSG00000106392,C1GALT1,t2d,0.158569288266263,0.0507077940797263,0.0017652867295637,0.0463615251913784,1256,21,6,mr_ivw_mre,0.0541227820469731,0.0202521850186548,0.0075301476893827,0.0144292288021681,0.0938163352917781,True,0.0096150420007753,True,True,True,,9.778871014076444
ENSG00000107679,PLEKHA1,t2d,0.122007716535233,0.0305987606548679,6.68177377129945e-05,0.0045696157536605,1004,14,3,mr_ivw_mre,0.153522582317204,0.033979252680358,6.23890322521406e-06,0.0869244708421164,0.220120693792292,True,2.54755215029574e-05,True,True,True,,15.898894407947507
ENSG00000107864,CPEB3,t2d,0.568862678541491,0.123665799682933,4.22490940500571e-06,0.0005740243578267,443,3,1,Wald ratio (单工具退化),0.568862678541491,0.123665799682933,4.22490940500571e-06,0.326482165043598,0.811243192039383,True,1.76187711357685e-05,True,True,True,,21.15999999999994
ENSG00000108262,GIT1,t2d,0.105373674968557,0.0305323015809952,0.0005580594806816,0.0208301322642722,1925,16,3,mr_ivw_mre,0.0929845885142927,0.0368581151295877,0.0116434155732056,0.0207440103222699,0.165225166706315,True,0.0146759450311788,True,True,True,,11.910916121356424
ENSG00000108375,RNF43,t2d,0.66076747893043,0.203788100978544,0.00118517452977,0.0352363064134448,405,3,1,Wald ratio (单工具退化),0.66076747893043,0.203788100978544,0.00118517452977,0.261350140534672,1.06018481732619,True,0.0018772503373978,True,True,True,,10.513314967860405
ENSG00000108551,RASD1,t2d,-0.266958450046685,0.0747899159663866,0.0003577390693541,0.0154464454098248,850,5,2,mr_ivw_mre,-0.292241150158,0.0843032539031771,0.000527190528345,-0.457472491587763,-0.127009808728237,True,0.0010230628074815,True,True,True,,12.740933641975262
ENSG00000108604,SMARCD2,t2d,-0.181103925853833,0.0397879837103119,5.32080722726778e-06,0.0007134082321823,756,9,2,mr_ivw_mre,-0.224255166364925,0.0802302530846105,0.0051876490558966,-0.381503572881296,-0.0670067598485553,True,0.0067785280997049,True,True,True,,20.718192627823917
